Date,City,Temperature_C,Humidity_%,Wind_Speed_km_h,Precipitation_mm,Condition
05-01-2025,Tokyo,8.2,65,11.3,0,Partly Cloudy
05-01-2025,Paris,16.7,49,10.4,0,Partly Cloudy
05-01-2025,Sydney,35.9,65,34.8,6.17,Stormy
05-01-2025,Toronto,10.3,86,28.3,0,Foggy
05-01-2025,Berlin,42.2,87,34.5,4.49,Rainy
05-01-2025,Mumbai,43.5,62,38.6,0,Foggy
05-01-2025,Singapore,11.3,72,22.3,1.34,Foggy
06-01-2025,Riyadh,15.5,73,20.9,0.27,Foggy
06-01-2025,Jeddah,25.4,41,22.4,6.61,Rainy
06-01-2025,Dammam,41.9,67,27.2,3,Sunny
06-01-2025,Dubai,5.9,73,36.8,1.04,Sunny
06-01-2025,Doha,21.9,79,17.3,0.87,Windy
06-01-2025,Cairo,11.7,52,16.6,3.78,Stormy
06-01-2025,London,29.5,94,28.9,0.32,Windy
06-01-2025,New York,40.9,27,12.5,0,Sunny
06-01-2025,Tokyo,9.3,44,13.6,6.14,Partly Cloudy
06-01-2025,Paris,9.2,21,24.5,2.76,Cloudy
06-01-2025,Sydney,30.9,29,33,4.31,Windy
06-01-2025,Toronto,37.9,88,0.3,9.98,Sunny
06-01-2025,Berlin,43.4,57,20.5,0,Sunny
06-01-2025,Mumbai,8.2,58,37.1,6.37,Cloudy
06-01-2025,Singapore,15.3,74,16.1,1.71,Partly Cloudy
07-01-2025,Riyadh,36.4,63,24,6.96,Windy
07-01-2025,Jeddah,13.1,48,21.3,4.12,Sunny
07-01-2025,Dammam,8.8,33,4.3,0,Rainy
07-01-2025,Dubai,17.3,87,21.5,3.9,Sunny
07-01-2025,Doha,33.9,67,22.3,0.82,Rainy
07-01-2025,Cairo,32.1,34,35.5,0,Foggy
07-01-2025,London,9.8,94,27.9,5.43,Windy
07-01-2025,New York,40.3,48,11.7,5.18,Partly Cloudy
07-01-2025,Tokyo,40.1,74,30.8,8.42,Sunny
07-01-2025,Paris,42.7,38,16.1,10.38,Partly Cloudy
07-01-2025,Sydney,35.7,88,6.8,4.5,Foggy
07-01-2025,Toronto,23.6,67,35.8,0,Partly Cloudy
07-01-2025,Berlin,37.8,28,0.2,6.8,Stormy
07-01-2025,Mumbai,20.3,67,34.9,9.94,Partly Cloudy
07-01-2025,Singapore,25.1,24,9.7,0,Stormy
08-01-2025,Riyadh,40.2,75,26.4,2.15,Sunny
08-01-2025,Jeddah,30.4,45,20.2,9.65,Foggy
08-01-2025,Dammam,44,60,24.6,0,Rainy
08-01-2025,Dubai,38.8,86,4.2,8.74,Rainy
08-01-2025,Doha,29.4,70,30.8,0.71,Foggy
08-01-2025,Cairo,6.3,40,10.9,0.45,Rainy
08-01-2025,London,35.5,70,34.7,0,Cloudy
08-01-2025,New York,34.7,22,35.4,9.72,Foggy
08-01-2025,Tokyo,38.3,32,1.6,0,Stormy
08-01-2025,Paris,13.8,80,34.8,4.32,Sunny
08-01-2025,Sydney,40.9,32,26.4,0,Sunny
08-01-2025,Toronto,18.3,45,29.2,1.47,Partly Cloudy
08-01-2025,Berlin,10.3,76,17.1,8.12,Cloudy
08-01-2025,Mumbai,26.8,81,23.8,8.45,Cloudy
08-01-2025,Singapore,24.8,94,13.3,4.01,Partly Cloudy
09-01-2025,Riyadh,42.5,92,36.5,1.46,Partly Cloudy
09-01-2025,Jeddah,31.5,89,4.5,0,Cloudy
09-01-2025,Dammam,13,40,13.2,0,Stormy
09-01-2025,Dubai,9.2,62,5.2,11.73,Foggy
09-01-2025,Doha,36.2,80,19.2,0,Cloudy
09-01-2025,Cairo,19.4,54,3.6,5.54,Partly Cloudy
09-01-2025,London,36.6,50,2,8.89,Rainy
09-01-2025,New York,18.1,45,13.6,0,Windy
09-01-2025,Tokyo,41.5,85,25.8,0.12,Partly Cloudy
09-01-2025,Paris,12.7,28,15,0,Foggy
09-01-2025,Sydney,37.4,55,6,0,Cloudy
09-01-2025,Toronto,8.4,41,20.8,9.2,Windy
09-01-2025,Berlin,10.8,37,37.7,2.52,Rainy
09-01-2025,Mumbai,33.3,46,38.7,8.58,Sunny
09-01-2025,Singapore,15.3,44,0.6,0,Rainy
10-01-2025,Riyadh,32.4,44,20.4,9.12,Sunny
10-01-2025,Jeddah,36.2,56,0.9,0,Cloudy
10-01-2025,Dammam,28.5,47,33.9,0.7,Cloudy
10-01-2025,Dubai,13.2,81,19.8,3.36,Sunny
10-01-2025,Doha,27.2,89,22.9,8.97,Foggy
10-01-2025,Cairo,21.9,77,20.5,4.73,Windy
10-01-2025,London,11.7,75,28.1,0,Partly Cloudy
10-01-2025,New York,15.1,30,19.8,6.28,Sunny
10-01-2025,Tokyo,8.5,82,29.5,0,Cloudy
10-01-2025,Paris,42.3,91,28.7,0,Partly Cloudy
10-01-2025,Sydney,28.7,85,5.2,2.65,Partly Cloudy
10-01-2025,Toronto,20.8,74,21.3,4.39,Rainy
10-01-2025,Berlin,20.5,92,12.5,2.54,Rainy
10-01-2025,Mumbai,21.8,83,18.1,3.11,Windy
10-01-2025,Singapore,15.6,88,18.1,0.74,Sunny
11-01-2025,Riyadh,27.8,81,40,0,Stormy
11-01-2025,Jeddah,20.2,58,21,4.09,Rainy
11-01-2025,Dammam,40.1,94,34,0,Partly Cloudy
11-01-2025,Dubai,35.5,24,20.2,0,Rainy
11-01-2025,Doha,26.3,84,11.7,0,Cloudy
11-01-2025,Cairo,39.9,35,39.6,8.09,Partly Cloudy
11-01-2025,London,22.4,60,3.1,7.94,Stormy
11-01-2025,New York,13.9,48,26.5,3.77,Cloudy
11-01-2025,Tokyo,32.6,58,33.3,3.37,Cloudy
11-01-2025,Paris,42.4,29,7.7,7.93,Stormy
11-01-2025,Sydney,6.3,68,27.9,0,Stormy
11-01-2025,Toronto,29.7,52,7.9,1.11,Foggy
11-01-2025,Berlin,12.1,64,21.5,12.65,Foggy
11-01-2025,Mumbai,42,26,38.5,3.43,Partly Cloudy
11-01-2025,Singapore,31.7,27,26.4,3.2,Stormy
12-01-2025,Riyadh,5,92,37.9,6.73,Windy
12-01-2025,Jeddah,13.4,79,5.1,0.61,Sunny
12-01-2025,Dammam,28.9,52,13.1,1.33,Windy
12-01-2025,Dubai,12.5,40,30.8,0,Stormy
12-01-2025,Doha,14.1,27,27,0,Cloudy
12-01-2025,Cairo,7,36,30.5,2.93,Rainy
12-01-2025,London,19.8,42,15.3,6.41,Rainy
12-01-2025,New York,5.8,73,19.4,7.54,Sunny
12-01-2025,Tokyo,23.5,24,25.6,0.52,Stormy
12-01-2025,Paris,33.2,42,32.9,7.42,Rainy
12-01-2025,Sydney,22.3,90,16.5,1.45,Partly Cloudy
12-01-2025,Toronto,18.3,81,18.7,16.41,Windy
12-01-2025,Berlin,18,39,10.3,6.14,Cloudy
12-01-2025,Mumbai,35.3,87,5.9,7.51,Stormy
12-01-2025,Singapore,27.2,65,39.8,12.26,Foggy
13-01-2025,Riyadh,30.5,85,34.2,1.1,Windy
13-01-2025,Jeddah,22.8,60,18.8,3.3,Rainy
13-01-2025,Dammam,37,40,9.2,0,Rainy
13-01-2025,Dubai,22.5,80,11.1,0,Stormy
13-01-2025,Doha,20.4,44,0.7,7.34,Cloudy
13-01-2025,Cairo,34.2,77,12.4,5.92,Foggy
13-01-2025,London,37.5,48,8.6,10.22,Sunny
13-01-2025,New York,33,35,16.4,5.5,Partly Cloudy
13-01-2025,Tokyo,34.1,29,7.3,5.62,Rainy
13-01-2025,Paris,33.8,75,5.7,1.87,Stormy
13-01-2025,Sydney,12.8,93,4.1,5.34,Rainy
13-01-2025,Toronto,41.1,84,4.5,8.63,Foggy
13-01-2025,Berlin,29.5,23,9.5,0,Partly Cloudy
13-01-2025,Mumbai,29.8,64,7,1.44,Partly Cloudy
13-01-2025,Singapore,40,43,22.2,4.4,Cloudy
14-01-2025,Riyadh,40.2,44,32.4,0,Stormy
14-01-2025,Jeddah,17.7,92,20.6,6.2,Rainy
14-01-2025,Dammam,9.6,89,13.6,3.99,Foggy
14-01-2025,Dubai,13.9,61,16.9,0,Cloudy
14-01-2025,Doha,26.5,44,0.1,10.27,Sunny
14-01-2025,Cairo,26.8,33,5.3,0,Foggy
14-01-2025,London,40.5,46,24.5,0.48,Cloudy
14-01-2025,New York,20,38,3.2,1.17,Sunny
14-01-2025,Tokyo,31.3,86,35.1,2.07,Windy
14-01-2025,Paris,36.3,68,11.9,3.89,Windy
14-01-2025,Sydney,23.5,83,0.9,5.8,Windy
14-01-2025,Toronto,26.5,43,31.7,0,Partly Cloudy
14-01-2025,Berlin,23.8,25,4,8.94,Stormy
14-01-2025,Mumbai,43.8,40,18.3,8.86,Rainy
14-01-2025,Singapore,20,37,10.6,9.65,Rainy
15-01-2025,Riyadh,11.8,30,11.3,1.13,Partly Cloudy
15-01-2025,Jeddah,24.5,40,31.5,0,Partly Cloudy
15-01-2025,Dammam,14.9,82,13.3,6.06,Rainy
15-01-2025,Dubai,8.2,50,34.9,7.23,Rainy
15-01-2025,Doha,29.7,44,28.7,3.34,Foggy
15-01-2025,Cairo,44.4,58,5.5,0,Cloudy
15-01-2025,London,15.4,91,29,5.97,Rainy
15-01-2025,New York,11.1,84,9.8,0.7,Rainy
15-01-2025,Tokyo,20.6,74,9.3,0,Foggy
15-01-2025,Paris,33.1,21,21.6,0,Windy
15-01-2025,Sydney,5.9,93,21.4,11.38,Rainy
15-01-2025,Toronto,30.4,55,27.4,1.89,Stormy
15-01-2025,Berlin,18.5,59,2.2,0.62,Rainy
15-01-2025,Mumbai,35,28,2.3,10.01,Stormy
15-01-2025,Singapore,19.2,76,10.1,3.48,Partly Cloudy
16-01-2025,Riyadh,24.7,27,30.9,6.73,Cloudy
16-01-2025,Jeddah,38.6,74,17.4,1.19,Foggy
16-01-2025,Dammam,39.4,67,10.6,0,Sunny
16-01-2025,Dubai,35.8,92,36.1,0,Partly Cloudy
16-01-2025,Doha,21.5,29,1,1.79,Rainy
16-01-2025,Cairo,20.8,84,0.7,0,Cloudy
16-01-2025,London,9.7,37,26.4,3.84,Partly Cloudy
16-01-2025,New York,28.3,80,28.9,2.18,Windy
16-01-2025,Tokyo,21.7,87,14.6,5.33,Stormy
16-01-2025,Paris,39.3,28,37.6,2.48,Rainy
16-01-2025,Sydney,8,91,16,0,Partly Cloudy
16-01-2025,Toronto,39.7,82,24.5,0.38,Sunny
16-01-2025,Berlin,40.4,69,5.8,1.71,Rainy
16-01-2025,Mumbai,16.5,59,29.4,14.11,Rainy
16-01-2025,Singapore,30.6,34,4.6,0,Rainy
17-01-2025,Riyadh,27.4,86,12.7,0,Windy
17-01-2025,Jeddah,23.5,91,7.4,1.43,Windy
17-01-2025,Dammam,13.1,86,29.2,8.95,Rainy
17-01-2025,Dubai,29,47,17,0.02,Stormy
17-01-2025,Doha,29.7,72,12.4,1.42,Windy
17-01-2025,Cairo,44.3,89,1.2,1.74,Partly Cloudy
17-01-2025,London,31.8,68,22.4,0,Windy
17-01-2025,New York,9.4,33,12.1,5.6,Stormy
17-01-2025,Tokyo,5.1,35,17.6,6.91,Cloudy
17-01-2025,Paris,10.1,42,18.5,3.43,Foggy
17-01-2025,Sydney,43,67,39.8,5.21,Partly Cloudy
17-01-2025,Toronto,32.6,38,14,0,Rainy
17-01-2025,Berlin,7.1,73,30.8,0.01,Foggy
17-01-2025,Mumbai,19.7,87,17.1,3.74,Sunny
17-01-2025,Singapore,20.2,67,13.9,0.41,Windy
18-01-2025,Riyadh,9.7,80,18.1,8.68,Partly Cloudy
18-01-2025,Jeddah,16.7,87,11.4,0,Cloudy
18-01-2025,Dammam,13.5,54,5.1,0,Sunny
18-01-2025,Dubai,30.1,31,4.2,0,Sunny
18-01-2025,Doha,14.2,39,13.8,3.48,Sunny
18-01-2025,Cairo,40,72,3.4,0,Cloudy
18-01-2025,London,20.5,35,32.7,0,Foggy
18-01-2025,New York,33.3,44,31.6,1.87,Cloudy
18-01-2025,Tokyo,42.5,44,2.3,0.03,Foggy
18-01-2025,Paris,19.7,63,38.5,7.07,Stormy
18-01-2025,Sydney,15,31,22.6,2.78,Rainy
18-01-2025,Toronto,40,24,0.9,7.09,Cloudy
18-01-2025,Berlin,30.5,90,8.1,6.28,Windy
18-01-2025,Mumbai,34.9,87,36.6,2.18,Rainy
18-01-2025,Singapore,37.6,77,23.5,0,Rainy
19-01-2025,Riyadh,20.1,61,13.2,6.42,Sunny
19-01-2025,Jeddah,43.5,60,4,0.58,Partly Cloudy
19-01-2025,Dammam,15.2,86,24.5,0,Cloudy
19-01-2025,Dubai,20.7,85,7.4,3.91,Rainy
19-01-2025,Doha,42,77,35.8,0.67,Partly Cloudy
19-01-2025,Cairo,12.3,49,33.6,0.52,Stormy
19-01-2025,London,36.2,78,37.8,5.5,Sunny
19-01-2025,New York,23.5,72,25.3,4.97,Windy
19-01-2025,Tokyo,34.6,94,19.4,4.44,Cloudy
19-01-2025,Paris,38.6,28,4.9,0,Stormy
19-01-2025,Sydney,6.6,73,5,8.29,Foggy
19-01-2025,Toronto,26.5,54,12.1,0,Rainy
19-01-2025,Berlin,26.3,55,7.2,0,Rainy
19-01-2025,Mumbai,7.8,57,28.7,1.75,Stormy
19-01-2025,Singapore,26.3,89,12.7,3.22,Windy
20-01-2025,Riyadh,43.5,91,39.3,3.91,Rainy
20-01-2025,Jeddah,44.5,78,38.9,2.3,Foggy
20-01-2025,Dammam,12.5,54,6.9,3.53,Sunny
20-01-2025,Dubai,11.7,29,1.3,4.49,Cloudy
20-01-2025,Doha,15.6,78,18.1,0,Stormy
20-01-2025,Cairo,11.5,68,10.5,5.21,Stormy
20-01-2025,London,41.8,37,22.2,4.72,Foggy
20-01-2025,New York,28,76,0.8,0,Cloudy
20-01-2025,Tokyo,40.6,82,21.4,0,Partly Cloudy
20-01-2025,Paris,10.3,80,21,0,Foggy
20-01-2025,Sydney,41.4,57,19.3,2.65,Foggy
20-01-2025,Toronto,5.1,95,4.6,4.44,Windy
20-01-2025,Berlin,35.1,44,24.8,4.5,Cloudy
20-01-2025,Mumbai,17.8,42,6,10.15,Windy
20-01-2025,Singapore,22,81,5.9,0,Windy
21-01-2025,Riyadh,36.3,56,5.3,3.56,Stormy
21-01-2025,Jeddah,23.8,94,20.3,3.45,Stormy
21-01-2025,Dammam,15,41,28.5,2.03,Stormy
21-01-2025,Dubai,14.8,33,30.1,12.42,Sunny
21-01-2025,Doha,44.7,22,6.6,0.85,Windy
21-01-2025,Cairo,13.2,42,9.6,0,Foggy
21-01-2025,London,38.2,79,35.8,0,Windy
21-01-2025,New York,26.4,61,11.7,6.79,Rainy
21-01-2025,Tokyo,13.3,94,32.2,3.51,Rainy
21-01-2025,Paris,28,37,35.7,4.75,Sunny
21-01-2025,Sydney,6.7,90,36.8,0,Rainy
21-01-2025,Toronto,25.9,37,28.1,9.65,Rainy
21-01-2025,Berlin,23.6,37,1.7,2.92,Cloudy
21-01-2025,Mumbai,18.9,47,7,4.01,Partly Cloudy
21-01-2025,Singapore,25.6,72,24.5,6.83,Windy
22-01-2025,Riyadh,10.5,91,0.7,2.6,Rainy
22-01-2025,Jeddah,7.3,60,7.1,4.65,Rainy
22-01-2025,Dammam,15.5,47,25.6,3.47,Partly Cloudy
22-01-2025,Dubai,21.8,85,12.9,4.82,Windy
22-01-2025,Doha,28.6,78,25.4,2.2,Stormy
22-01-2025,Cairo,29.8,52,7.2,4.56,Rainy
22-01-2025,London,25.5,87,31.7,0,Windy
22-01-2025,New York,5,22,36.6,5.45,Rainy
22-01-2025,Tokyo,31,75,5.5,8.87,Rainy
22-01-2025,Paris,26.3,94,25.7,8.99,Windy
22-01-2025,Sydney,6.8,26,5.6,0,Partly Cloudy
22-01-2025,Toronto,40.5,51,5.3,4.21,Rainy
22-01-2025,Berlin,37.1,84,28,2.13,Rainy
22-01-2025,Mumbai,7.5,57,28.4,0,Cloudy
22-01-2025,Singapore,16.6,33,8.8,0,Rainy
23-01-2025,Riyadh,33.9,36,20,0,Stormy
23-01-2025,Jeddah,28.5,78,13,9.14,Partly Cloudy
23-01-2025,Dammam,9.7,76,4,3.17,Stormy
23-01-2025,Dubai,34.5,93,32.5,1.44,Stormy
23-01-2025,Doha,5.5,57,23.9,0,Rainy
23-01-2025,Cairo,34.2,22,36.1,4.51,Rainy
23-01-2025,London,19.5,92,27.3,0,Cloudy
23-01-2025,New York,44.9,87,34.1,0.17,Partly Cloudy
23-01-2025,Tokyo,7.8,22,33.6,0.69,Rainy
23-01-2025,Paris,12.3,75,26.1,4.83,Windy
23-01-2025,Sydney,30,42,26.8,9,Windy
23-01-2025,Toronto,42.5,73,16.1,0,Foggy
23-01-2025,Berlin,21.9,86,7.7,7.48,Stormy
23-01-2025,Mumbai,30.4,58,35.9,4.9,Partly Cloudy
23-01-2025,Singapore,23.3,72,6,8.18,Cloudy
24-01-2025,Riyadh,32,44,14.1,3.58,Cloudy
24-01-2025,Jeddah,39.8,22,12.7,8.09,Partly Cloudy
24-01-2025,Dammam,42.2,44,8.8,0,Sunny
24-01-2025,Dubai,29.1,34,18.4,0,Stormy
24-01-2025,Doha,19.7,73,12.9,8.38,Stormy
24-01-2025,Cairo,23,34,31.6,1.88,Foggy
24-01-2025,London,20.8,24,3.6,0,Foggy
24-01-2025,New York,10.8,21,38.3,2.67,Rainy
24-01-2025,Tokyo,34.7,60,11.9,2.29,Windy
24-01-2025,Paris,41.2,79,19.2,0,Stormy
24-01-2025,Sydney,33.4,37,3.4,5.97,Stormy
24-01-2025,Toronto,40.6,33,12.9,0,Stormy
24-01-2025,Berlin,16.5,43,5,8.71,Windy
24-01-2025,Mumbai,10.9,84,5.3,2.54,Foggy
24-01-2025,Singapore,20,38,5.6,7.34,Partly Cloudy
25-01-2025,Riyadh,24.7,87,4.5,5.3,Partly Cloudy
25-01-2025,Jeddah,7.9,79,8.9,2.28,Windy
25-01-2025,Dammam,8.1,44,26.3,0,Stormy
25-01-2025,Dubai,23.5,37,15.5,0,Sunny
25-01-2025,Doha,44.7,87,23.6,12.01,Sunny
25-01-2025,Cairo,27.4,67,23.8,0,Sunny
25-01-2025,London,41.6,78,20.6,10.52,Foggy
25-01-2025,New York,20.6,65,19.5,1.75,Stormy
25-01-2025,Tokyo,25.9,40,38.5,1.72,Partly Cloudy
25-01-2025,Paris,43.6,34,26.7,9.21,Foggy
25-01-2025,Sydney,10.1,64,11.2,5.42,Foggy
25-01-2025,Toronto,28.6,56,29.8,0,Partly Cloudy
25-01-2025,Berlin,30.5,68,17.8,0,Partly Cloudy
25-01-2025,Mumbai,12.5,22,38.7,4.33,Cloudy
25-01-2025,Singapore,34,84,0.6,0,Sunny
26-01-2025,Riyadh,35.2,25,1.4,5.52,Foggy
26-01-2025,Jeddah,35.8,32,26.6,9.78,Rainy
26-01-2025,Dammam,16.5,93,22.4,0,Sunny
26-01-2025,Dubai,37.2,50,18.6,9.88,Sunny
26-01-2025,Doha,19,33,36.9,3.09,Sunny
26-01-2025,Cairo,9.4,73,17.2,1.97,Cloudy
26-01-2025,London,38.4,59,16.6,2.5,Cloudy
26-01-2025,New York,33.9,28,30.1,10.9,Sunny
26-01-2025,Tokyo,25.4,88,6.9,8.71,Partly Cloudy
26-01-2025,Paris,40.6,71,34.6,3.37,Windy
26-01-2025,Sydney,7.4,75,20.6,0.72,Cloudy
26-01-2025,Toronto,12.1,69,24.5,0,Sunny
26-01-2025,Berlin,14,54,38.1,0,Cloudy
26-01-2025,Mumbai,24.3,34,4.1,3.09,Foggy
26-01-2025,Singapore,8.1,72,12.3,0,Stormy
27-01-2025,Riyadh,15,59,34.7,3.88,Rainy
27-01-2025,Jeddah,12.1,94,10.5,12.53,Rainy
27-01-2025,Dammam,11.8,44,4.7,6.73,Foggy
27-01-2025,Dubai,6.1,49,15.9,3.39,Partly Cloudy
27-01-2025,Doha,15.6,35,23.6,0,Windy
27-01-2025,Cairo,44.3,73,34.3,2.9,Foggy
27-01-2025,London,32.8,35,25.4,3.33,Rainy
27-01-2025,New York,10.7,71,37.9,0,Stormy
27-01-2025,Tokyo,25.2,66,28.3,5.46,Cloudy
27-01-2025,Paris,35.1,79,29.2,0,Foggy
27-01-2025,Sydney,44.8,48,13.2,0,Partly Cloudy
27-01-2025,Toronto,28.6,28,31,0,Partly Cloudy
27-01-2025,Berlin,11.1,21,39.8,0,Rainy
27-01-2025,Mumbai,15.3,41,21.4,1.33,Partly Cloudy
27-01-2025,Singapore,44.2,95,0.4,0,Rainy
28-01-2025,Riyadh,19.3,76,19.3,0,Foggy
28-01-2025,Jeddah,24.1,29,2.7,0,Sunny
28-01-2025,Dammam,35.4,43,5.3,8.86,Partly Cloudy
28-01-2025,Dubai,21,26,5.9,13.08,Rainy
28-01-2025,Doha,10.4,65,7.5,4.07,Windy
28-01-2025,Cairo,19.8,35,29.5,0,Sunny
28-01-2025,London,29.4,60,4.3,5.12,Partly Cloudy
28-01-2025,New York,5.3,22,32.4,0,Rainy
28-01-2025,Tokyo,15.6,54,15.6,0,Partly Cloudy
28-01-2025,Paris,23.3,66,8.2,4.66,Cloudy
28-01-2025,Sydney,8.4,27,1.9,0.65,Cloudy
28-01-2025,Toronto,22.3,63,35.8,0,Rainy
28-01-2025,Berlin,20.1,48,34.2,0,Partly Cloudy
28-01-2025,Mumbai,44.4,52,5.5,0,Stormy
28-01-2025,Singapore,5.2,66,4.5,8.71,Stormy
29-01-2025,Riyadh,14.5,86,21.2,0,Rainy
29-01-2025,Jeddah,39.7,26,28,1.94,Partly Cloudy
29-01-2025,Dammam,8.3,89,39.4,0.59,Rainy
29-01-2025,Dubai,44.1,21,14.8,10.22,Foggy
29-01-2025,Doha,29.1,48,29.9,0,Stormy
29-01-2025,Cairo,32.6,83,36.3,6.2,Sunny
29-01-2025,London,24.5,28,4.7,0,Foggy
29-01-2025,New York,22.5,24,24.4,6.11,Sunny
29-01-2025,Tokyo,10.8,59,28.6,0,Windy
29-01-2025,Paris,18.6,57,37.3,0,Stormy
29-01-2025,Sydney,9.4,60,1.6,0,Partly Cloudy
29-01-2025,Toronto,28.9,42,26,1.37,Partly Cloudy
29-01-2025,Berlin,40,59,17,0,Rainy
29-01-2025,Mumbai,41,28,14.6,1.4,Partly Cloudy
29-01-2025,Singapore,35.3,40,6.9,2.16,Stormy
30-01-2025,Riyadh,31.3,71,35.3,0,Stormy
30-01-2025,Jeddah,20.2,59,10.2,0,Partly Cloudy
30-01-2025,Dammam,43.2,84,2.8,2.18,Sunny
30-01-2025,Dubai,17.6,76,1.6,5.32,Sunny
30-01-2025,Doha,17.3,29,25.8,0,Windy
30-01-2025,Cairo,42.7,39,13.5,0.41,Partly Cloudy
30-01-2025,London,34.5,71,31.8,0,Cloudy
30-01-2025,New York,29.1,68,9.2,0,Rainy
30-01-2025,Tokyo,22.8,67,8.4,0,Partly Cloudy
30-01-2025,Paris,24.7,62,35.8,0,Stormy
30-01-2025,Sydney,44,49,23.3,7.69,Sunny
30-01-2025,Toronto,39.6,60,28.2,0,Stormy
30-01-2025,Berlin,8,83,33,0,Rainy
30-01-2025,Mumbai,24.5,33,34.3,13.62,Stormy
30-01-2025,Singapore,9.3,74,30.5,0,Stormy
31-01-2025,Riyadh,35.6,54,23,7.46,Partly Cloudy
31-01-2025,Jeddah,23.5,40,27.9,0,Windy
31-01-2025,Dammam,37.1,48,10.2,0,Sunny
31-01-2025,Dubai,23.3,41,6,5.61,Foggy
31-01-2025,Doha,38,23,18.6,9.89,Stormy
31-01-2025,Cairo,37.5,70,33.3,0,Cloudy
31-01-2025,London,39.5,67,20.8,0,Stormy
